               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089516,            0.035958,            0.024905,             0.70844,             0.03252,           0.0097664,             0.00145,            0.085168,            0.022755,            0.024039,           0.0033263,           0.0033263,            0.070063
                   1,            0.079568,            0.038948,            0.018109,             0.48294,              0.1676,            0.087968,            0.019553,            0.067718,            0.023087,            0.019258,           0.0066583,           0.0066583,            0.040062
                   2,            0.065429,            0.033173,            0.015239,             0.65655,             0.27953,             0.27705,            0.098482,            0.049673,            0.022791,            0.015313,           0.0099851,           0.0099851,            0.010055
                   3,            0.054942,             0.02847,            0.012022,             0.55707,             0.57826,             0.50564,             0.23666,            0.041935,            0.015921,            0.011919,           0.0099822,           0.0099822,           0.0099822
                   4,             0.04892,            0.025171,           0.0077253,             0.66356,             0.59372,             0.56782,             0.29956,            0.039032,            0.012728,           0.0055157,           0.0099822,           0.0099822,           0.0099822
                   5,            0.045705,            0.023649,           0.0057345,             0.69001,             0.63843,             0.61088,             0.37096,            0.033351,            0.011371,           0.0043548,           0.0099685,           0.0099685,           0.0099685
                   6,            0.042594,            0.022104,           0.0045606,             0.70599,             0.66968,             0.63486,             0.38571,            0.032525,            0.011371,            0.004246,           0.0099508,           0.0099508,           0.0099508
                   7,            0.041039,            0.021336,           0.0040758,             0.78432,             0.65695,             0.64082,             0.39607,            0.030736,            0.010394,           0.0033868,           0.0099291,           0.0099291,           0.0099291
                   8,            0.039402,            0.020441,            0.003627,             0.71192,              0.7109,             0.64057,             0.41066,            0.030412,            0.010102,           0.0032713,           0.0099037,           0.0099037,           0.0099037
                   9,            0.038214,            0.019647,             0.00323,             0.70484,             0.69793,             0.62061,             0.41299,            0.029616,             0.01026,           0.0038832,           0.0098743,           0.0098743,           0.0098743
                  10,            0.037178,            0.019292,            0.003215,             0.76511,             0.70372,             0.64586,             0.44858,            0.028663,           0.0095223,           0.0031802,           0.0098412,           0.0098412,           0.0098412
                  11,            0.036124,            0.018588,           0.0026845,             0.76859,             0.71827,             0.64587,             0.44896,             0.02749,           0.0092038,           0.0031366,           0.0098042,           0.0098042,           0.0098042
                  12,             0.03508,            0.018306,           0.0026953,             0.79048,             0.69603,             0.67665,             0.46768,            0.027692,            0.009376,           0.0038554,           0.0097635,           0.0097635,           0.0097635
                  13,            0.034671,            0.018059,           0.0025519,             0.76703,             0.71447,             0.66824,             0.46321,            0.026947,           0.0090591,           0.0027862,           0.0097191,           0.0097191,           0.0097191
                  14,            0.033809,            0.017634,           0.0023107,             0.76309,             0.71715,              0.6471,             0.45645,            0.026858,            0.008986,           0.0030087,            0.009671,            0.009671,            0.009671
                  15,             0.03367,             0.01764,           0.0023892,             0.78194,             0.73265,             0.66518,             0.47121,            0.026378,           0.0087026,            0.002875,           0.0096193,           0.0096193,           0.0096193
                  16,              0.0329,            0.017341,           0.0021198,             0.77435,              0.7283,             0.68813,             0.47961,             0.02598,           0.0088934,           0.0028401,            0.009564,            0.009564,            0.009564
                  17,            0.032467,            0.017148,           0.0022059,             0.77957,             0.71594,             0.69283,             0.50171,            0.025464,           0.0085781,           0.0026975,           0.0095052,           0.0095052,           0.0095052
                  18,            0.031971,            0.016767,           0.0020232,             0.77354,             0.73019,              0.6762,             0.49293,            0.025072,           0.0084791,           0.0024915,            0.009443,            0.009443,            0.009443
                  19,            0.031553,            0.016555,           0.0019509,             0.77374,             0.74296,             0.68036,             0.50081,            0.024691,           0.0084103,           0.0028891,           0.0093773,           0.0093773,           0.0093773
                  20,            0.031383,             0.01645,           0.0018663,             0.78607,             0.73765,             0.69728,             0.51313,            0.024482,           0.0083305,            0.002716,           0.0093083,           0.0093083,           0.0093083
                  21,            0.030813,            0.016253,           0.0018484,             0.77862,              0.7402,             0.70639,             0.52929,            0.024632,           0.0083424,            0.002263,           0.0092361,           0.0092361,           0.0092361
                  22,            0.030469,            0.016018,            0.001843,             0.77187,              0.7388,             0.66443,             0.49514,            0.024242,           0.0083795,           0.0025429,           0.0091606,           0.0091606,           0.0091606
                  23,            0.030019,            0.015872,           0.0016934,             0.78533,             0.72885,             0.68846,             0.51686,            0.024569,           0.0083061,           0.0022877,           0.0090821,           0.0090821,           0.0090821
