               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088801,            0.036289,              0.0249,             0.43226,            0.066299,            0.022256,           0.0044537,            0.079379,            0.023922,            0.022505,           0.0033263,           0.0033263,            0.070063
                   1,            0.083176,            0.036431,            0.018164,              0.7142,             0.09434,             0.04132,           0.0096597,            0.068926,            0.024825,            0.022945,           0.0066583,           0.0066583,            0.040062
                   2,            0.066882,             0.03197,            0.015236,              0.5412,             0.21463,             0.14627,            0.051409,            0.055904,            0.028947,            0.024654,           0.0099851,           0.0099851,            0.010055
                   3,            0.055082,            0.028199,            0.012713,             0.43952,             0.51393,             0.32362,             0.15577,            0.041825,            0.015836,            0.011509,           0.0099822,           0.0099822,           0.0099822
                   4,            0.050626,            0.026532,           0.0089884,             0.53263,             0.51943,             0.42617,             0.21712,            0.039487,            0.017255,            0.013248,           0.0099822,           0.0099822,           0.0099822
                   5,            0.046095,            0.024608,            0.006659,             0.72006,              0.5985,             0.58988,             0.33774,            0.035439,            0.012628,           0.0075797,           0.0099685,           0.0099685,           0.0099685
                   6,            0.042422,            0.022014,           0.0051284,             0.74591,             0.62853,             0.61247,             0.37839,             0.03155,             0.01132,           0.0047148,           0.0099508,           0.0099508,           0.0099508
                   7,            0.039704,            0.020698,           0.0041435,             0.72371,             0.71698,             0.64546,             0.40956,            0.030124,            0.010492,           0.0038592,           0.0099291,           0.0099291,           0.0099291
                   8,            0.038542,            0.020324,           0.0039323,             0.74915,             0.64894,             0.62618,             0.43754,            0.029019,            0.010874,           0.0048322,           0.0099037,           0.0099037,           0.0099037
                   9,            0.036594,            0.019281,           0.0032367,             0.31832,             0.34421,             0.19235,              0.1198,            0.063684,            0.014811,             0.14045,           0.0098743,           0.0098743,           0.0098743
                  10,            0.035648,            0.018691,           0.0033209,             0.73721,              0.6514,              0.6158,             0.42971,            0.029349,            0.010793,           0.0040702,           0.0098412,           0.0098412,           0.0098412
                  11,            0.034407,            0.018106,           0.0028671,             0.76894,             0.72057,             0.63837,             0.45548,             0.02689,           0.0091424,           0.0027934,           0.0098042,           0.0098042,           0.0098042
                  12,            0.033073,            0.017382,           0.0026165,             0.75448,             0.70941,             0.64612,             0.47242,            0.026079,           0.0093488,           0.0027572,           0.0097635,           0.0097635,           0.0097635
                  13,            0.032555,            0.017029,           0.0024499,             0.75122,             0.72327,             0.63375,             0.45338,            0.025304,           0.0090605,           0.0029211,           0.0097191,           0.0097191,           0.0097191
                  14,            0.031797,            0.016917,           0.0023449,             0.77494,             0.73984,             0.67484,              0.4944,            0.025218,           0.0085129,           0.0029186,            0.009671,            0.009671,            0.009671
                  15,            0.031032,            0.016381,           0.0023767,             0.76002,             0.74261,             0.66876,             0.50218,            0.024784,           0.0084154,            0.002953,           0.0096193,           0.0096193,           0.0096193
                  16,            0.030661,            0.015938,           0.0021789,             0.76421,             0.73635,             0.67864,             0.51193,             0.02493,           0.0084809,           0.0028409,            0.009564,            0.009564,            0.009564
                  17,            0.029832,             0.01585,            0.002079,             0.74448,             0.74136,             0.67806,             0.50289,            0.024494,           0.0081949,            0.002841,           0.0095052,           0.0095052,           0.0095052
                  18,            0.029328,            0.015512,            0.002053,             0.77175,             0.75014,             0.68006,              0.5139,            0.024333,           0.0084726,           0.0029414,            0.009443,            0.009443,            0.009443
                  19,            0.028897,            0.015183,           0.0020468,             0.77056,              0.7328,             0.65861,             0.50422,            0.024251,           0.0082959,           0.0028156,           0.0093773,           0.0093773,           0.0093773
                  20,            0.028544,            0.015053,           0.0018826,             0.77973,              0.7552,             0.67847,             0.51058,            0.023648,           0.0082577,           0.0028776,           0.0093083,           0.0093083,           0.0093083
                  21,            0.028108,            0.014798,           0.0017636,             0.74998,             0.75078,             0.67543,             0.50788,            0.023305,           0.0081139,           0.0029076,           0.0092361,           0.0092361,           0.0092361
                  22,            0.027963,            0.014759,           0.0018519,             0.77282,             0.75646,             0.67544,             0.50969,            0.023379,           0.0081307,           0.0027898,           0.0091606,           0.0091606,           0.0091606
                  23,             0.02742,            0.014502,           0.0017903,             0.77247,             0.75644,             0.68716,             0.53358,            0.023579,           0.0078473,           0.0026233,           0.0090821,           0.0090821,           0.0090821
                  24,             0.02723,            0.014343,           0.0017086,             0.78127,             0.75531,             0.67896,             0.53711,            0.022442,           0.0076831,           0.0027066,           0.0090004,           0.0090004,           0.0090004
                  25,            0.026928,            0.014231,           0.0016909,             0.78493,             0.74951,             0.69723,             0.54976,            0.022617,            0.007709,           0.0026778,           0.0089159,           0.0089159,           0.0089159
                  26,            0.026362,            0.014122,           0.0015729,              0.7573,              0.7571,             0.68469,             0.53799,            0.022355,           0.0077052,           0.0026727,           0.0088284,           0.0088284,           0.0088284
                  27,            0.026467,            0.014205,           0.0016073,             0.77007,             0.74407,              0.6678,             0.52191,            0.022545,           0.0078526,           0.0027365,           0.0087382,           0.0087382,           0.0087382
                  28,            0.026365,            0.014025,           0.0016641,             0.77448,             0.75772,             0.69807,             0.54552,            0.022336,           0.0078536,           0.0026088,           0.0086452,           0.0086452,           0.0086452
                  29,            0.025764,            0.013821,           0.0014897,             0.76474,             0.75289,             0.67196,              0.5222,            0.022656,           0.0078908,           0.0026553,           0.0085497,           0.0085497,           0.0085497
